12:53:05.020 [sandbox-akka.actor.default-dispatcher-4] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started 
12:53:07.232 [sandbox-akka.actor.default-dispatcher-6] INFO  c.d.platform.apiserver.ApiServices - DAML LF Engine supports LF versions: 0, 0.dev, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.dev; Transaction versions: 1, 2, 3, 4, 5, 6, 7, 8, 9; Value versions: 1, 2, 3, 4, 5, 6, 7 (context: {participantId=sandbox-participant}) 
12:53:07.813 [sandbox-akka.actor.default-dispatcher-6] INFO  c.d.p.apiserver.LedgerApiServer - Listening on localhost:6865 over plain text. (context: {participantId=sandbox-participant}) 
12:53:07.833 [sandbox-akka.actor.default-dispatcher-6] INFO  c.d.platform.sandbox.SandboxServer - Initialized sandbox version 100.13.55 with ledger-id = sandbox-9368baad-3f5b-4fea-a942-69dcffa5dd2a, port = 6865, dar file = List(./.daml/dist/quickstart-0.0.1.dar), time mode = static time, ledger = in-memory, auth-service = AuthServiceWildcard$, contract ids seeding = no 
12:54:03.959 [sandbox-akka.actor.default-dispatcher-9] INFO  c.d.p.a.services.ApiCommandService - Shutting down Command Service (context: {participantId=sandbox-participant}) 
12:54:03.961 [sandbox-akka.actor.default-dispatcher-9] INFO  c.d.p.a.services.tracking.TrackerMap - Shutting down 0 trackers (context: {participantId=sandbox-participant}) 
12:54:04.309 [sandbox-akka.actor.default-dispatcher-18] WARN  akka.actor.CoordinatedShutdown - Could not addJvmShutdownHook, due to: Shutdown in progress akkaAddress=akka://sandbox, sourceThread=pool-1-thread-2, akkaSource=CoordinatedShutdown(akka://sandbox), sourceActorSystem=sandbox, akkaTimestamp=07:24:04.291UTC
12:55:17.813 [sandbox-akka.actor.default-dispatcher-4] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started 
12:55:20.198 [sandbox-akka.actor.default-dispatcher-4] INFO  c.d.platform.apiserver.ApiServices - DAML LF Engine supports LF versions: 0, 0.dev, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.dev; Transaction versions: 1, 2, 3, 4, 5, 6, 7, 8, 9; Value versions: 1, 2, 3, 4, 5, 6, 7 (context: {participantId=sandbox-participant}) 
12:55:20.764 [sandbox-akka.actor.default-dispatcher-4] INFO  c.d.p.apiserver.LedgerApiServer - Listening on localhost:6865 over plain text. (context: {participantId=sandbox-participant}) 
12:55:20.787 [sandbox-akka.actor.default-dispatcher-4] INFO  c.d.platform.sandbox.SandboxServer - Initialized sandbox version 100.13.55 with ledger-id = sandbox-b152f9a8-d0de-4755-9f52-a04352f23cb1, port = 6865, dar file = List(.daml/dist/Product-0.0.1.dar), time mode = static time, ledger = in-memory, auth-service = AuthServiceWildcard$, contract ids seeding = no 
17:33:17.470 [sandbox-akka.actor.default-dispatcher-465] INFO  c.d.p.a.services.ApiCommandService - Shutting down Command Service (context: {participantId=sandbox-participant}) 
17:33:17.471 [sandbox-akka.actor.default-dispatcher-465] INFO  c.d.p.a.services.tracking.TrackerMap - Shutting down 0 trackers (context: {participantId=sandbox-participant}) 
17:33:17.610 [sandbox-akka.actor.default-dispatcher-465] WARN  akka.actor.CoordinatedShutdown - Could not addJvmShutdownHook, due to: Shutdown in progress akkaAddress=akka://sandbox, sourceThread=pool-1-thread-7, akkaSource=CoordinatedShutdown(akka://sandbox), sourceActorSystem=sandbox, akkaTimestamp=12:03:17.608UTC
